timestamp,funding,price,volume
1660060800000,1.0E-4,23061.60,103064.152
1660089600000,-1.314E-5,23140.10,151434.943
1660118400000,5.81E-6,22951.20,388693.187
1660147200000,9.44E-5,23983.60,220610.074
1660176000000,7.206E-5,23941.00,266920.427
1660204800000,1.0E-4,24429.40,304313.539
1660233600000,4.911E-5,24336.40,189221.279
1660262400000,9.024E-5,23917.30,118044.160
1660291200000,1.412E-5,23949.20,207370.748
1660320000000,-3.384E-5,23966.70,152319.137
1660348800000,-3.559E-5,24387.50,183816.864
1660377600000,8.455E-5,24566.10,167073.242
1660406400000,2.154E-5,24501.80,80203.553
1660435200000,2.396E-5,24429.00,145551.886
1660464000000,-3.33E-6,24867.20,155652.234
1660492800000,1.239E-5,24512.00,136110.200
1660521600000,-3.766E-5,24294.10,374544.755
1660550400000,1.077E-5,24010.70,216255.302
1660579200000,-1.339E-5,24211.80,148590.664
1660608000000,3.243E-5,24085.20,148124.823
1660636800000,1.56E-6,24054.40,178318.078
1660665600000,2.87E-5,23886.20,134477.093
1660694400000,4.66E-6,23843.00,219410.517
1660723200000,2.62E-6,23774.20,251931.149
1660752000000,9.364E-5,23385.70,169259.237
1660780800000,8.391E-5,23333.10,84944.188
1660809600000,1.0E-4,23402.50,135791.996
1660838400000,7.171E-5,23439.50,126962.822
1660867200000,1.0E-4,23185.00,309265.958
1660896000000,2.108E-5,21892.90,324171.282
1660924800000,-6.746E-5,21431.00,273172.585
1660953600000,1.07E-5,20825.00,163431.302
1660982400000,-6.722E-5,21295.20,113861.139
1661011200000,-4.567E-5,21291.80,213214.601
1661040000000,-1.957E-5,21127.70,96098.423
1661068800000,-3.589E-5,21241.70,162201.882
1661097600000,-3.234E-5,21407.70,165982.119
1661126400000,-8.092E-5,21505.60,130171.643
1661155200000,-3.215E-5,21089.20,285738.473
1661184000000,4.021E-5,21388.00,172854.481
1661212800000,-3.345E-5,21387.00,189915.356
1661241600000,-4.031E-5,21297.20,292978.181
