timestamp,funding,change_6h_price,change_6h_volume,change_4h_price,change_4h_volume,change_2h_price,change_2h_volume,change_last_price,change_last_volume
1654617600000,-3.705E-5,-20.099999999998545,7122.350000000002,-64.5,10937.813999999998,-19.5,39031.547,306.90000000000146,-1716.6209999999992
1654646400000,1.0E-4,51.900000000001455,67604.088,1174.4000000000015,57773.811,1522.5999999999985,78200.514,1242.0,25733.605000000003
1654675200000,1.0E-4,-6.0,40060.256,-1112.0,6280.735999999997,-583.7000000000007,-18676.116,-570.0999999999985,-24318.115
1654704000000,1.0E-4,-32.900000000001455,-4770.473000000002,-148.70000000000073,45019.129,206.59999999999854,17178.933999999997,-86.90000000000146,1153.5229999999974
1654732800000,1.0E-4,-89.79999999999927,14734.93,-334.7999999999993,-8181.234999999999,-52.0,-11780.228,-268.40000000000146,-5157.401999999998
1654761600000,9.106E-5,-116.0,-6794.707,90.40000000000146,-4370.268,112.5,-5255.866,284.8000000000029,12460.533
1654790400000,1.0E-4,56.599999999998545,-5895.571,-190.70000000000073,31786.225,-319.6000000000022,12171.233999999997,-191.5,-3506.9540000000015
1654819200000,1.0E-4,25.0,-8240.035,-282.1000000000022,-7060.287999999997,-160.10000000000218,-10572.600999999999,-192.5,19613.878
1654848000000,9.289E-5,-223.90000000000146,-19453.231,8.599999999998545,-33282.599,-4.700000000000728,-33802.853,-51.80000000000291,-20502.514
1654876800000,3.503E-5,-153.0,-9862.357,-36.19999999999709,87107.86499999999,-656.5999999999985,26553.308,-603.3999999999978,44600.369999999995
1654905600000,1.762E-5,-334.2000000000007,-47100.516,-467.6000000000022,-50531.293999999994,-260.2999999999993,-56778.119999999995,-360.5,-57292.221
1654934400000,3.79E-6,116.20000000000073,-5568.371999999999,180.79999999999927,465.26500000000124,192.20000000000073,-6153.169999999999,231.29999999999927,39752.003
1654963200000,6.606E-5,-245.40000000000146,-4654.386999999995,-585.0999999999985,12164.845000000008,-549.0,9201.585,-916.4000000000015,-2261.2549999999974
1654992000000,1.0E-4,93.10000000000218,-26679.119000000002,188.5,-35377.468,157.40000000000146,-31367.077,24.0,-28889.094
1655020800000,5.63E-6,-187.0,67266.5,-878.3999999999978,17670.036000000004,-1159.0999999999985,5913.107,-787.0999999999985,1169.7479999999996
1655049600000,4.39E-6,-170.0,2205.3539999999994,-185.59999999999854,823.2070000000022,-327.2000000000007,104011.038,448.2999999999993,14631.301000000003
1655078400000,5.616E-5,34.0,-1589.244000000006,-667.7999999999993,-15714.453000000001,-717.5,38780.842000000004,-1513.0999999999985,101507.15000000001
1655107200000,-3.182E-5,-806.1000000000022,7407.68299999999,-1064.7999999999993,-23830.282000000007,-1343.2000000000007,-33350.72900000001,-1763.6000000000022,68657.824
1655136000000,-5.8E-6,-762.6999999999971,-72303.47899999999,-1082.8999999999978,-39426.98000000001,-1158.3999999999978,-2690.985000000015,-1545.7999999999993,-62814.20300000001
1655164800000,4.088E-5,270.5,-78771.451,-55.20000000000073,-88215.573,-205.29999999999927,-25585.368000000002,-783.8999999999978,32247.244000000006
1655193600000,-1.0037E-4,-1636.6000000000022,-16575.225999999995,-364.90000000000146,-10824.728999999992,268.0,-67520.264,391.8999999999978,-116647.86600000001
1655222400000,-5.186E-5,-572.5999999999985,27077.958000000006,-883.2999999999993,55686.526999999995,-462.7000000000007,52634.654,-190.70000000000073,4204.084999999999
