calc_time,funding_interval_hours,last_funding_rate
1676563200001,8,0.00023171
1676592000003,8,0.00010000
1676620800016,8,0.00010000
1676649600000,8,0.00010000
1676678400011,8,0.00010000
1676707200000,8,0.00010000
1676736000007,8,0.00010000
1676764800019,8,0.00010000
1676793600005,8,0.00010000
1676822400003,8,0.00010000
1676851200006,8,0.00010000
1676880000008,8,0.00010000
1676908800006,8,0.00010000
1676937600001,8,0.00010000
1676966400004,8,0.00010000
1676995200011,8,0.00010000
1677024000009,8,0.00010000
1677052800010,8,0.00010000
1677081600000,8,0.00010000
1677110400006,8,0.00010000
1677139200005,8,0.00003506
1677168000002,8,0.00003631
1677196800015,8,0.00004978
1677225600011,8,0.00004949
1677254400014,8,0.00005440
1677283200015,8,0.00001183
1677312000015,8,0.00000610
1677340800015,8,-4.8E-7
1677369600007,8,0.00007372
1677398400012,8,0.00002760
1677427200000,8,0.00006581
1677456000011,8,0.00008144
1677484800003,8,0.00001196
1677513600000,8,0.00006826
1677542400011,8,0.00003414
1677571200018,8,0.00001985
1677600000005,8,0.00005950
1677628800016,8,0.00000185
1677657600000,8,0.00010000
1677686400008,8,0.00010000
1677715200009,8,0.00008612
1677744000013,8,0.00008703
1677772800000,8,0.00008395
1677801600000,8,0.00010000
1677830400013,8,-0.00004203
1677859200000,8,-0.00000226
1677888000001,8,0.00000530
1677916800008,8,0.00003812
1677945600012,8,0.00002104
1677974400000,8,0.00001874
1678003200000,8,0.00000544
1678032000015,8,0.00003706
1678060800007,8,0.00004054
1678089600017,8,0.00005460
1678118400000,8,0.00005414
1678147200009,8,0.00001173
1678176000016,8,0.00004375
1678204800017,8,0.00002631
1678233600000,8,0.00002917
1678262400014,8,0.00003816
1678291200021,8,0.00010000
1678320000010,8,0.00010000
1678348800013,8,0.00010000
1678377600002,8,0.00010000
1678406400000,8,-0.00008895
1678435200000,8,0.00000526
1678464000005,8,-0.00001647
1678492800011,8,0.00002364
1678521600003,8,-0.00002296
1678550400011,8,-0.00002341
1678579200001,8,0.00000376
1678608000000,8,0.00009088
1678636800005,8,-0.00004068
1678665600010,8,0.00010000
1678694400018,8,0.00006011
1678723200003,8,0.00010000
1678752000010,8,0.00015042
1678780800009,8,0.00010000
1678809600010,8,0.00029811
1678838400011,8,0.00010000
1678867200000,8,0.00024127
1678896000012,8,0.00022126
1678924800004,8,0.00010000
1678953600018,8,0.00010000
1678982400005,8,0.00010000
1679011200017,8,0.00003311
1679040000010,8,0.00010000
1679068800003,8,0.00010000
1679097600012,8,0.00010000
1679126400000,8,0.00010000
1679155200016,8,0.00010000
1679184000013,8,0.00010000
1679212800024,8,0.00010000
1679241600000,8,0.00010000
1679270400005,8,0.00010000
1679299200012,8,0.00009081
1679328000015,8,0.00010000
1679356800006,8,0.00008118
1679385600004,8,0.00001254
1679414400003,8,0.00000292
1679443200000,8,0.00000268
1679472000003,8,6E-8
1679500800000,8,0.00005334
