datetime;open;high;low;close
2024-02-28 09:15:00;2026.21997;2026.44995;2025.41003;2025.71997
2024-02-28 09:00:00;2026.85999;2027.43994;2025.64001;2026.29004
2024-02-28 08:45:00;2028.08997;2028.18994;2026.79004;2026.87000
2024-02-28 08:30:00;2028.85999;2028.93005;2028.02002;2028.07996
2024-02-28 08:15:00;2028.88000;2029.30005;2028.63000;2028.85999
2024-02-28 08:00:00;2028.13000;2028.93005;2027.71997;2028.93005
2024-02-28 07:45:00;2028.23999;2028.63000;2027.90002;2028.15002
2024-02-28 07:30:00;2028.85999;2029.38000;2028.25000;2028.25000
2024-02-28 07:15:00;2028.81995;2029.43994;2028.47998;2028.88000
2024-02-28 07:00:00;2029.37000;2029.37000;2028.63000;2028.76001
2024-02-28 06:45:00;2030.73999;2030.73999;2028.70996;2029.38000
2024-02-28 06:30:00;2031.31995;2031.53003;2030.48999;2030.72998
2024-02-28 06:15:00;2031.66003;2031.81995;2031.06006;2031.29004
2024-02-28 06:00:00;2031.04004;2032.12000;2030.93994;2031.66003
2024-02-28 05:45:00;2030.59998;2031.16003;2030.47998;2031.02002
2024-02-28 05:30:00;2030.88000;2030.88000;2030.42004;2030.56995
2024-02-28 05:15:00;2030.81006;2030.94995;2030.51001;2030.93994
2024-02-28 05:00:00;2030.22998;2030.96997;2030.05005;2030.80005
2024-02-28 04:45:00;2030.93005;2030.96997;2030.22998;2030.31006
2024-02-28 04:30:00;2030.76001;2031.08997;2030.51001;2030.89001
2024-02-28 04:15:00;2030.52002;2031.13000;2029.88000;2030.77002
2024-02-28 04:00:00;2030.97998;2031.22998;2030.37000;2030.56006
2024-02-28 03:45:00;2031.18994;2031.47998;2030.91003;2030.98999
2024-02-28 03:30:00;2031.09998;2031.90002;2031.08997;2031.22998
2024-02-28 03:15:00;2030.62000;2031.09998;2029.90002;2031.04004
2024-02-28 03:00:00;2031.12000;2031.56995;2030.56995;2030.57996
2024-02-28 02:45:00;2030.67004;2031.30005;2030.59998;2031.05005
2024-02-28 02:30:00;2032.31006;2032.59998;2030.68994;2030.68994
2024-02-28 02:15:00;2032.93994;2032.94995;2031.93994;2032.34998
2024-02-28 02:00:00;2033.51001;2033.68994;2032.33997;2032.94995
2024-02-28 01:45:00;2033.31006;2033.80005;2032.83997;2033.51001
2024-02-28 01:30:00;2032.16003;2033.41003;2032.12000;2033.29004
2024-02-28 01:15:00;2030.90002;2032.45996;2030.89001;2032.18005
2024-02-28 01:00:00;2030.90002;2031.33997;2029.82996;2031.05005
2024-02-28 00:45:00;2030.72998;2031.32996;2030.70996;2030.85999
2024-02-28 00:30:00;2030.14001;2030.88000;2029.84998;2030.71997
2024-02-28 00:15:00;2029.62000;2030.89001;2029.53003;2030.17004
2024-02-28 00:00:00;2030.13000;2030.22998;2029.18005;2029.64001
2024-02-27 23:45:00;2030.76001;2030.91003;2030.13000;2030.16003
2024-02-27 23:30:00;2030.78003;2030.92004;2030.44995;2030.80005
2024-02-27 23:15:00;2030.38000;2030.89001;2030.18994;2030.83997
2024-02-27 23:00:00;2030.63000;2030.79004;2029.83997;2030.47998
2024-02-27 21:45:00;2030.37000;2030.66003;2029.92004;2030.46997
2024-02-27 21:30:00;2029.91003;2030.54004;2029.91003;2030.33997
2024-02-27 21:15:00;2030.21997;2030.33997;2029.91003;2029.91003
2024-02-27 21:00:00;2030.30005;2030.37000;2030.07996;2030.21997
2024-02-27 20:45:00;2030.10999;2030.41003;2029.89001;2030.22998
2024-02-27 20:30:00;2029.27002;2030.21997;2029.21997;2030.14001
2024-02-27 20:15:00;2029.54004;2030.03003;2028.83997;2029.19995
2024-02-27 20:00:00;2030.32996;2030.32996;2029.12000;2029.53003
2024-02-27 19:45:00;2030.07996;2030.39001;2029.46997;2030.32996
2024-02-27 19:30:00;2030.94995;2031.20996;2029.81006;2030.07996
2024-02-27 19:15:00;2031.82996;2032.21997;2030.12000;2030.98999
2024-02-27 19:00:00;2032.43994;2032.52002;2031.77002;2031.85999
2024-02-27 18:45:00;2033.09998;2033.26001;2032.01001;2032.21997
2024-02-27 18:30:00;2034.62000;2034.62000;2032.92004;2033.08997
2024-02-27 18:15:00;2035.10999;2036.14001;2034.26001;2034.58997
2024-02-27 18:00:00;2032.32996;2035.30005;2032.07996;2035.23999
2024-02-27 17:45:00;2030.88000;2032.34998;2030.82996;2032.32996
2024-02-27 17:30:00;2030.18994;2031.52002;2029.81995;2030.87000
2024-02-27 17:15:00;2031.04004;2031.18994;2030.13000;2030.18005
2024-02-27 17:00:00;2033.18005;2033.18005;2031.02002;2031.03003
2024-02-27 16:45:00;2033.06006;2034.34998;2032.67004;2033.16003
2024-02-27 16:30:00;2034.06995;2034.31995;2032.67004;2032.95996
2024-02-27 16:15:00;2032.68994;2034.18005;2031.91003;2034.05005
2024-02-27 16:00:00;2033.81995;2034.12000;2032.43005;2032.66003
2024-02-27 15:45:00;2033.43994;2035.72998;2033.35999;2033.81006
2024-02-27 15:30:00;2034.57996;2034.83997;2033.16003;2033.45996
2024-02-27 15:15:00;2034.21997;2035.52002;2034.19995;2034.66003
2024-02-27 15:00:00;2035.00000;2037.38000;2033.66003;2034.19995
2024-02-27 14:45:00;2034.95996;2035.83997;2034.38000;2035.01001
2024-02-27 14:30:00;2036.48999;2036.48999;2033.81006;2034.93994
2024-02-27 14:15:00;2033.82996;2036.56006;2033.82996;2036.44995
2024-02-27 14:00:00;2035.53003;2035.68005;2033.71997;2033.95996
2024-02-27 13:45:00;2035.88000;2036.97998;2035.35999;2035.53003
2024-02-27 13:30:00;2036.66003;2038.48999;2035.71997;2035.85999
2024-02-27 13:15:00;2037.13000;2037.29004;2036.10999;2036.43005
2024-02-27 13:00:00;2038.38000;2038.69995;2036.66003;2037.04004
2024-02-27 12:45:00;2037.34998;2038.58997;2037.33997;2038.45996
2024-02-27 12:30:00;2038.47998;2038.50000;2037.20996;2037.37000
2024-02-27 12:15:00;2038.52002;2038.62000;2037.52002;2038.48999
2024-02-27 12:00:00;2038.29004;2039.16003;2037.80005;2038.53003
2024-02-27 11:45:00;2037.87000;2038.72998;2037.72998;2038.29004
2024-02-27 11:30:00;2035.68994;2037.85999;2035.62000;2037.85999
2024-02-27 11:15:00;2036.62000;2037.29004;2035.66003;2035.68994
2024-02-27 11:00:00;2036.56006;2036.93005;2036.20996;2036.58997
2024-02-27 10:45:00;2035.87000;2036.65002;2035.59998;2036.52002
2024-02-27 10:30:00;2035.97998;2036.40002;2034.70996;2035.89001
2024-02-27 10:15:00;2035.40002;2036.10999;2034.89001;2036.04004
2024-02-27 10:00:00;2036.68005;2036.77002;2035.41003;2035.42004
2024-02-27 09:45:00;2035.68994;2037.37000;2035.43005;2036.67004
2024-02-27 09:30:00;2036.60999;2036.80005;2035.51001;2035.73999
2024-02-27 09:15:00;2037.29004;2037.47998;2036.51001;2036.63000
2024-02-27 09:00:00;2038.05005;2038.18005;2037.18005;2037.28003
2024-02-27 08:45:00;2038.89001;2039.51001;2037.56006;2038.16003
2024-02-27 08:30:00;2037.43994;2039.29004;2037.21997;2038.88000
2024-02-27 08:15:00;2035.70996;2037.50000;2035.68005;2037.47998
2024-02-27 08:00:00;2035.43994;2035.83997;2034.69995;2035.67004
2024-02-27 07:45:00;2036.15002;2036.21997;2035.38000;2035.45996
2024-02-27 07:30:00;2034.91003;2036.30005;2034.90002;2036.16003
2024-02-27 07:15:00;2034.80005;2035.85999;2034.47998;2034.89001
2024-02-27 07:00:00;2033.44995;2034.82996;2033.33997;2034.79004
2024-02-27 06:45:00;2033.85999;2034.14001;2033.34998;2033.54004
2024-02-27 06:30:00;2033.92004;2035.05005;2033.76001;2033.76001
2024-02-27 06:15:00;2033.56995;2034.03003;2033.40002;2033.93005
2024-02-27 06:00:00;2033.67004;2033.87000;2033.34998;2033.56006
2024-02-27 05:45:00;2033.43005;2034.07996;2033.32996;2033.68994
2024-02-27 05:30:00;2032.90002;2033.67004;2032.90002;2033.43005
2024-02-27 05:15:00;2033.38000;2033.45996;2032.85999;2032.93994
2024-02-27 05:00:00;2033.81006;2033.92004;2033.15002;2033.41003
2024-02-27 04:45:00;2034.41003;2034.52002;2033.58997;2033.81995
2024-02-27 04:30:00;2034.12000;2034.63000;2033.97998;2034.38000
2024-02-27 04:15:00;2033.92004;2034.17004;2033.81995;2034.04004
2024-02-27 04:00:00;2033.51001;2034.27002;2033.47998;2033.97998
2024-02-27 03:45:00;2032.68005;2033.54004;2032.58997;2033.50000
2024-02-27 03:30:00;2032.70996;2033.05005;2032.59998;2032.67004
2024-02-27 03:15:00;2032.41003;2033.01001;2032.41003;2032.69995
2024-02-27 03:00:00;2032.92004;2033.31006;2032.39001;2032.44995
2024-02-27 02:45:00;2034.14001;2034.19995;2032.71997;2032.71997
2024-02-27 02:30:00;2033.03003;2034.59998;2032.88000;2034.15002
2024-02-27 02:15:00;2033.62000;2033.62000;2032.64001;2033.04004
2024-02-27 02:00:00;2033.72998;2033.93005;2033.41003;2033.62000
2024-02-27 01:45:00;2033.33997;2033.84998;2032.92004;2033.62000
2024-02-27 01:30:00;2032.67004;2033.56995;2032.44995;2033.34998
2024-02-27 01:15:00;2032.88000;2033.18994;2032.51001;2032.64001
2024-02-27 01:00:00;2031.62000;2032.91003;2031.35999;2032.82996
2024-02-27 00:45:00;2031.30005;2031.81006;2031.12000;2031.57996
2024-02-27 00:30:00;2032.02002;2032.16003;2031.28003;2031.29004
2024-02-27 00:15:00;2032.05005;2032.53003;2031.33997;2032.05005
2024-02-27 00:00:00;2031.37000;2032.62000;2031.31995;2032.04004
2024-02-26 23:45:00;2031.43005;2031.69995;2030.98999;2031.44995
2024-02-26 23:30:00;2031.03003;2031.45996;2031.01001;2031.38000
2024-02-26 23:15:00;2031.12000;2031.15002;2030.68005;2031.01001
2024-02-26 23:00:00;2031.37000;2031.56995;2030.84998;2030.96997
2024-02-26 21:45:00;2031.28003;2031.44995;2030.92004;2031.26001
2024-02-26 21:30:00;2031.58997;2031.59998;2031.12000;2031.26001
2024-02-26 21:15:00;2031.79004;2031.88000;2031.45996;2031.59998
2024-02-26 21:00:00;2032.38000;2032.38000;2031.64001;2031.80005
2024-02-26 20:45:00;2033.40002;2033.48999;2032.03003;2032.38000
