datetime;open;high;low;close;volume
2023-02-03 16:30:00;34135.37109;34179.57812;34097.80078;34114.89062;12990639
2023-02-03 16:15:00;34134.07812;34151.71094;34098.05859;34135.66016;14206096
2023-02-03 16:00:00;34079.51172;34134.75000;34071.44141;34133.78906;12333175
2023-02-03 15:45:00;34124.42969;34128.10156;34048.87109;34080.92969;16655630
2023-02-03 15:30:00;34021.00000;34135.92188;34020.60938;34123.30859;16633054
2023-02-03 15:15:00;33978.44141;34059.41016;33958.69141;34021.26172;21694185
2023-02-03 15:00:00;33914.12109;33988.35938;33833.51172;33976.10156;27741595
2023-02-03 14:45:00;33962.21094;34035.03906;33870.51172;33917.03125;21031122
2023-02-03 14:30:00;33926.30078;33991.67969;33885.92969;33962.03125;21222118
2023-02-02 20:45:00;33970.37891;34059.94141;33954.33984;34048.41016;41116447
2023-02-02 20:30:00;33970.07031;34023.07031;33926.96094;33972.85156;16337098
2023-02-02 20:15:00;33915.87891;33982.23828;33888.37891;33969.98828;11830254
2023-02-02 20:00:00;33866.10156;33924.69922;33827.07812;33915.12891;11740006
2023-02-02 19:45:00;33882.78125;33937.14062;33851.12891;33866.60938;10821998
2023-02-02 19:30:00;33936.01953;33951.10156;33851.14062;33881.91016;11594175
2023-02-02 19:15:00;33968.14062;33977.60156;33920.82031;33936.32031;9963807
2023-02-02 19:00:00;34074.80078;34098.89844;33966.96094;33969.73828;11064263
2023-02-02 18:45:00;34033.42188;34080.35938;34025.46094;34074.71094;10238817
2023-02-02 18:30:00;33977.73828;34056.37109;33976.83984;34033.28125;9031647
2023-02-02 18:15:00;33990.12109;34013.62891;33969.76953;33977.10938;8611731
2023-02-02 18:00:00;33985.96875;34040.01172;33980.92188;33990.46094;9361125
2023-02-02 17:45:00;33951.05078;33996.58984;33934.50000;33986.10938;9020251
2023-02-02 17:30:00;33933.41016;33966.94922;33928.89062;33951.50000;9159873
2023-02-02 17:15:00;33956.10156;33960.42188;33920.48047;33933.08984;9247009
2023-02-02 17:00:00;33943.44922;33958.69141;33910.37109;33957.42188;10908540
2023-02-02 16:45:00;33971.19141;33987.03125;33938.55859;33943.87891;9789711
2023-02-02 16:30:00;33988.92188;34005.07031;33949.37891;33970.53125;11882462
2023-02-02 16:15:00;33966.01953;34010.26172;33953.23047;33990.12891;18949163
2023-02-02 16:00:00;34032.30078;34035.76172;33964.57812;33967.23047;12466108
2023-02-02 15:45:00;34001.12109;34068.89062;33991.03125;34032.67969;15543796
2023-02-02 15:30:00;33919.53906;34044.28125;33916.91016;34000.60156;14994142
2023-02-02 15:15:00;33843.85938;33940.73047;33843.85938;33919.03125;13005041
2023-02-02 15:00:00;33905.10156;33974.37891;33814.78125;33843.60938;16572285
2023-02-02 14:45:00;33835.87109;33929.28906;33816.32812;33904.01953;19734422
2023-02-02 14:30:00;34129.30078;34145.14062;33824.12891;33835.87891;23403514
2023-02-01 20:45:00;34251.35156;34258.64844;34034.82812;34095.03125;37513517
2023-02-01 20:30:00;34167.39062;34334.69922;34157.00000;34251.10156;21797750
2023-02-01 20:15:00;34130.89844;34168.12109;34051.76953;34167.89062;13875492
2023-02-01 20:00:00;34038.26953;34213.80078;34038.26953;34130.60938;17453482
2023-02-01 19:45:00;34007.73047;34138.91016;33983.48828;34039.10938;18439402
2023-02-01 19:30:00;33744.71094;34017.51172;33581.42188;34007.32031;21417746
2023-02-01 19:15:00;33807.67969;33821.42969;33735.01172;33744.89844;8289824
2023-02-01 19:00:00;33781.44922;33855.91016;33685.05078;33807.71875;12930796
2023-02-01 18:45:00;33765.16016;33816.19141;33732.98828;33781.05859;7751051
2023-02-01 18:30:00;33768.37109;33798.05859;33762.17969;33765.23047;6594518
2023-02-01 18:15:00;33771.62891;33776.41016;33754.12891;33768.10156;5520858
2023-02-01 18:00:00;33721.82031;33775.62891;33715.21875;33771.51172;5489617
2023-02-01 17:45:00;33734.53906;33739.17969;33716.85156;33721.78906;4816723
2023-02-01 17:30:00;33728.87891;33747.91016;33713.21094;33733.66016;5364226
2023-02-01 17:15:00;33747.35938;33747.85156;33701.64062;33728.48828;6484150
2023-02-01 17:00:00;33777.67188;33781.05078;33740.89062;33747.71875;7810438
2023-02-01 16:45:00;33844.85156;33844.85156;33776.58984;33776.89844;8079047
2023-02-01 16:30:00;33839.62891;33862.62109;33834.00000;33844.35938;6249597
2023-02-01 16:15:00;33762.92188;33846.62891;33762.28125;33838.19922;7437646
2023-02-01 16:00:00;33732.46094;33775.21875;33725.76953;33763.21875;8224991
2023-02-01 15:45:00;33812.57812;33821.17969;33702.05859;33730.25000;10768566
2023-02-01 15:30:00;33883.71875;33895.32812;33813.23828;33813.33984;12146279
