open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1655020800000,27629.50,27698.00,27324.50,27443.80,50142.276,1655035199999,1378968500.70885,520296,25341.000,696979251.91981,0
1655035200000,27443.90,28337.70,26850.00,28077.80,152771.167,1655049599999,4222476813.54098,1275716,77552.309,2144422228.26350,0
1655049600000,28077.80,28234.40,27404.00,27410.00,75610.280,1655063999999,2108308848.91612,715435,37010.579,1032322769.97629,0
1655064000000,27410.00,27545.40,26538.70,26564.70,100265.913,1655078399999,2716405169.56885,864439,48146.579,1305177352.15788,0
1655078400000,26564.70,26877.00,24864.20,25500.00,287621.507,1655092799999,7426558494.06400,2109104,140099.404,3619079979.31445,0
1655092800000,25499.90,26241.50,24552.00,24801.20,223032.813,1655107199999,5670413422.84802,1836094,110597.090,2813020208.43307,0
1655107200000,24801.10,24934.30,23464.30,23718.30,345225.993,1655121599999,8339190798.42876,2563680,172999.495,4180313296.23133,0
1655121600000,23718.20,24357.60,22559.70,23253.10,375411.507,1655135999999,8783773341.97681,2800535,188902.569,4421432120.87178,0
1655136000000,23255.30,24193.70,23094.00,23200.10,213129.615,1655150399999,5024131610.48581,1693967,108791.003,2564965923.99194,0
1655150400000,23200.10,23780.00,21900.00,22471.50,178100.125,1655164799999,4044967709.33168,1471186,87533.015,1988290008.52283,0
1655164800000,22471.40,22785.50,20823.00,22106.50,339820.328,1655179199999,7337829629.62167,2679401,171811.062,3711384315.88802,0
1655179200000,22106.50,23424.20,21755.40,22863.20,278050.561,1655193599999,6257068469.20809,2175717,143971.313,3241177681.42016,0
1655193600000,22863.30,22980.00,21712.00,21980.00,150177.780,1655207999999,3356241707.80020,1367733,74489.407,1665302047.50550,0
1655208000000,21980.00,22793.00,21797.70,22672.60,231421.003,1655222399999,5162707855.09466,1920197,119372.807,2663658685.81657,0
1655222400000,22672.60,22770.00,22111.00,22182.00,113788.647,1655236799999,2553742137.51441,997809,57191.357,1283828928.23720,0
1655236800000,22182.00,22350.00,21350.00,22122.70,134351.477,1655251199999,2932000927.56809,1119227,69681.649,1520738629.11710,0
1655251200000,22122.70,22290.00,21400.00,21442.30,107872.735,1655265599999,2362304005.34565,968060,52135.659,1142090040.43623,0
1655265600000,21442.30,21481.70,20617.20,20707.50,247622.016,1655279999999,5223254455.07456,1955978,122850.943,2592287215.54851,0
1655280000000,20707.50,21275.90,20100.20,21163.80,305479.509,1655294399999,6268235236.59070,2380628,156720.236,3216851553.46926,0
1655294400000,21163.80,21794.70,21030.40,21408.80,230516.134,1655308799999,4924340505.48159,1825610,118372.003,2529562140.45293,0
1655308800000,21408.80,22440.00,20179.90,21617.30,467297.892,1655323199999,9889701080.68611,3429890,237479.026,5029079884.91088,0
1655323200000,21616.80,22800.00,21428.80,22567.50,150512.883,1655337599999,3338711376.40309,1285671,78535.607,1742533593.91886,0
1655337600000,22567.50,23000.00,22152.50,22197.50,104620.331,1655351999999,2359445703.86827,938138,52284.717,1179723653.84150,0
1655352000000,22197.50,22353.50,21635.30,21748.90,93075.521,1655366399999,2041261940.60741,848097,47072.467,1032384657.94250,0
1655366400000,21748.90,21883.70,20852.00,21028.10,195883.211,1655380799999,4167269401.23564,1538845,96700.750,2057666461.70520,0
1655380800000,21028.20,21490.00,20739.00,21067.00,213956.492,1655395199999,4512691221.69681,1739554,108196.202,2282511537.47645,0
1655395200000,21067.70,21483.00,20800.00,20862.20,144247.827,1655409599999,3040568230.50828,1206338,71866.066,1515504935.83606,0
1655409600000,20862.20,21040.00,20222.00,20387.40,130850.838,1655423999999,2692601961.92200,1124533,62725.538,1291028181.61354,0
1655424000000,20387.40,21052.50,20228.00,20369.00,161879.595,1655438399999,3332122796.86114,1188170,80644.422,1660488493.60868,0
1655438400000,20369.10,21288.00,20305.60,21087.50,147586.025,1655452799999,3073282119.58166,1108652,77501.956,1614234499.62876,0
1655452800000,21087.90,21388.00,20833.00,20963.90,136853.278,1655467199999,2882803220.46846,1079989,69085.719,1455546973.01575,0
1655467200000,20963.90,21036.60,20375.50,20656.00,186987.444,1655481599999,3862918704.90273,1423028,94018.733,1942421957.00894,0
1655481600000,20656.00,20785.50,20430.30,20506.60,83908.202,1655495999999,1727585016.85020,756612,41007.646,844447523.70620,0
1655496000000,20506.60,20721.70,20350.00,20457.30,58938.713,1655510399999,1210021181.57040,523496,28493.341,585073081.48370,0
1655510400000,20457.30,20768.40,20300.80,20450.00,81381.337,1655524799999,1668083204.63229,700287,41108.160,842859790.18710,0
1655524800000,20449.90,20532.50,19000.00,19244.90,213559.941,1655539199999,4173171083.64042,1578739,98901.389,1930393353.76196,0
1655539200000,19245.00,19529.50,18690.00,19237.00,242483.135,1655553599999,4643766356.55626,1835704,120602.238,2310941235.01288,0
1655553600000,19237.00,19278.30,18904.00,18946.60,101852.568,1655567999999,1948428041.49379,928741,49755.392,952123714.17700,0
1655568000000,18946.70,19090.00,18020.90,18059.40,251644.647,1655582399999,4651877912.15279,1922366,122105.700,2257686425.97172,0
1655582400000,18059.50,19500.00,17593.20,18959.70,377669.760,1655596799999,6953222604.98706,2618093,195263.641,3598006346.09517,0
1655596800000,18959.70,19189.90,18215.80,18299.80,164915.866,1655611199999,3077147655.08114,1283856,84073.299,1568829723.39505,0
1655611200000,18299.80,18615.40,17935.90,18297.20,148750.988,1655625599999,2721039784.76469,1184498,75768.442,1386399679.93755,0
1655625600000,18297.10,20100.00,18255.50,19685.40,268577.781,1655639999999,5186874677.59040,2065668,144825.756,2796860393.81782,0
1655640000000,19685.40,19937.70,19111.00,19816.30,188811.137,1655654399999,3683945052.36338,1571639,96192.247,1877735105.42597,0
1655654400000,19816.30,20348.40,19363.80,20111.20,159055.026,1655668799999,3152049795.00996,1418091,83093.475,1647721034.00966,0
1655668800000,20111.10,20821.00,20036.80,20564.20,159164.876,1655683199999,3259135166.41902,1353304,83303.246,1706121486.27595,0
1655683200000,20564.30,20653.70,19630.00,19966.70,153679.430,1655697599999,3073406540.02965,1270132,77788.098,1555415843.16387,0
1655697600000,19966.70,20276.00,19763.00,20076.70,102586.475,1655711999999,2050500866.03342,913093,52696.039,1053600771.88467,0
1655712000000,20076.70,21050.00,20010.00,20791.00,220888.310,1655726399999,4556224273.68982,1700224,115698.042,2386534319.89453,0
1655726400000,20790.90,21099.90,20352.00,20815.40,180288.243,1655740799999,3721411628.41720,1477703,90801.461,1874790912.50645,0
1655740800000,20815.40,20817.70,19814.80,20064.30,165811.225,1655755199999,3350667543.21283,1402724,81382.953,1644401014.67950,0
1655755200000,20064.40,20780.00,19996.50,20570.10,112562.447,1655769599999,2299819962.07880,1007167,58643.121,1198296914.54962,0
1655769600000,20570.00,20780.00,20337.80,20604.40,100187.917,1655783999999,2058172262.50430,906419,50272.525,1033093112.61370,0
1655784000000,20604.40,21354.00,20466.10,21107.70,156957.323,1655798399999,3286475402.62340,1308041,83527.148,1749315622.18770,0
1655798400000,21107.80,21466.80,20905.00,20953.20,139170.758,1655812799999,2951576805.87162,1199473,69379.166,1471983004.30844,0
1655812800000,20953.30,21740.00,20841.30,21382.80,194948.424,1655827199999,4162656113.92376,1573477,100951.258,2155794238.11142,0
